instrument,months,avg_trades_per_month,mean_month_ret_%,median_month_ret_%,%_months_green,best_%,worst_%,win_rate_%,target_first_%,worst_single_trade_R
Vol75,20,106.0,-11.28,-10.99,5.0,1.1,-24.3,71.9,71.9,-1.2
Vol100,20,99.0,-7.97,-9.57,15.0,5.8,-19.2,74.1,74.1,-1.2
Step,20,101.0,-6.49,-5.64,15.0,1.7,-16.6,72.1,72.1,-1.1
Boom 1000,15,2.0,0.14,0.18,87.0,0.7,-0.7,93.3,93.3,-0.0
Crash 1000,16,2.0,-0.21,0.1,62.0,0.8,-2.0,74.8,74.8,-0.4
Boom 500,16,2.0,-0.0,0.2,75.0,0.9,-1.2,83.3,83.3,-0.2
Crash 500,15,2.0,0.05,0.12,87.0,1.1,-1.0,90.0,90.0,-0.1
